country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Maharashtra,Mumbai,"Mulund West, Mumbai - MPCB","20-04-2026 21:00:00",19.1750,72.9419,NH3,1,2,2
India,Maharashtra,Mumbai,"Navy Nagar-Colaba, Mumbai - IITM","20-04-2026 21:00:00",18.897756,72.813320,PM2.5,28,60,47
India,Maharashtra,Mumbai,"Sewri, Mumbai - BMC","20-04-2026 21:00:00",19.000084,72.856730,NO2,23,53,30
India,Maharashtra,Mumbai,"Sewri, Mumbai - BMC","20-04-2026 21:00:00",19.000084,72.856730,NH3,6,12,8
India,Maharashtra,Mumbai,"Sewri, Mumbai - BMC","20-04-2026 21:00:00",19.000084,72.856730,SO2,2,16,5
India,Maharashtra,Hingoli,"Ashta Vinayak Nagar, Hingoli - MPCB","20-04-2026 21:00:00",19.710842,77.151824,PM2.5,12,45,28
India,Maharashtra,Hingoli,"Ashta Vinayak Nagar, Hingoli - MPCB","20-04-2026 21:00:00",19.710842,77.151824,PM10,20,121,44
India,Maharashtra,Jalgaon,"Prabhat Colony, Jalgaon - MPCB","20-04-2026 21:00:00",21.001264,75.565602,PM2.5,37,326,80
India,Maharashtra,Jalgaon,"Prabhat Colony, Jalgaon - MPCB","20-04-2026 21:00:00",21.001264,75.565602,NH3,1,3,2
India,Maharashtra,Jalna,"Old MIDC, Jalna - MPCB","20-04-2026 21:00:00",19.854616,75.905894,PM2.5,28,61,46
India,Maharashtra,Jalna,"Old MIDC, Jalna - MPCB","20-04-2026 21:00:00",19.854616,75.905894,NH3,3,5,4
India,Maharashtra,Jalna,"Old MIDC, Jalna - MPCB","20-04-2026 21:00:00",19.854616,75.905894,OZONE,11,71,54
India,Maharashtra,Kolhapur,"Shivaji University, Kolhapur - MPCB","20-04-2026 21:00:00",16.6870449,74.2505872,PM10,NA,NA,NA
India,Maharashtra,Kolhapur,"Shivaji University, Kolhapur - MPCB","20-04-2026 21:00:00",16.6870449,74.2505872,CO,12,42,20
India,Maharashtra,Ambernath,"Chinchpada, Ambernath - MPCB","20-04-2026 21:00:00",19.2157840,73.1997810,NO2,23,90,45
India,Maharashtra,Ambernath,"Chinchpada, Ambernath - MPCB","20-04-2026 21:00:00",19.2157840,73.1997810,NH3,2,9,5
India,Maharashtra,Ambernath,"Chinchpada, Ambernath - MPCB","20-04-2026 21:00:00",19.2157840,73.1997810,OZONE,1,62,38
India,Maharashtra,Amravati,"Shivneri Colony, Amravati - MPCB","20-04-2026 21:00:00",20.9402359,77.7895248,NO2,5,52,16
India,Maharashtra,Amravati,"Shivneri Colony, Amravati - MPCB","20-04-2026 21:00:00",20.9402359,77.7895248,SO2,8,17,11
India,Maharashtra,Amravati,"Shri Shivaji Science College, Amravati - MPCB","20-04-2026 21:00:00",20.939198,77.765701,SO2,16,25,20
India,Maharashtra,Aurangabad,"MIDC Chilkalthana, Aurangabad - MPCB","20-04-2026 21:00:00",19.875620,75.387310,PM10,32,161,85
India,Maharashtra,Kolhapur,"Sinchan Bhavan, Kolhapur - MPCB","20-04-2026 21:00:00",16.7143745,74.2426398,SO2,1,3,2
India,Maharashtra,Latur,"Sawe Wadi, Latur - MPCB","20-04-2026 21:00:00",18.39963,76.57452,NO2,9,55,24
India,Maharashtra,Latur,"Sawe Wadi, Latur - MPCB","20-04-2026 21:00:00",18.39963,76.57452,SO2,3,7,5
India,Maharashtra,Latur,"Sawe Wadi, Latur - MPCB","20-04-2026 21:00:00",18.39963,76.57452,CO,12,122,34
India,Maharashtra,Malegaon,"Mahesh Nagar, Malegaon - MPCB","20-04-2026 21:00:00",20.555712,74.529236,CO,11,47,18
India,Maharashtra,Mira-Bhayandar,"Bhayandar West, Mira-Bhayandar - MPCB","20-04-2026 21:00:00",19.296481,72.840923,PM2.5,27,69,49
India,Maharashtra,Mumbai,"Bandra Kurla Complex, Mumbai - MPCB","20-04-2026 21:00:00",19.065931,72.862131,PM2.5,NA,NA,NA
